fly,condition,total_visit_min
bias_video_cam_0_date_2019_06_05_time_18_12_19_v001,0-125M_24hr,17.468311166666663
bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,0-125M_24hr,18.44742168333334
bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,0-125M_24hr,5.160996633333331
bias_video_cam_0_date_2019_06_19_time_15_45_36_v001,0-125M_24hr,7.256805216666663
bias_video_cam_0_date_2019_06_21_time_10_55_39_v001,0-125M_24hr,12.95565351666668
bias_video_cam_0_date_2019_06_25_time_17_03_41_v001,0-125M_24hr,16.088942349999993
bias_video_cam_0_date_2019_07_09_time_16_44_30_v001,0-125M_24hr,4.085295883333338
bias_video_cam_0_date_2019_07_09_time_17_53_36_v001,0-125M_24hr,6.316610466666672
bias_video_cam_0_date_2019_07_10_time_16_54_37_v001,0-125M_24hr,0.0
bias_video_cam_0_date_2019_07_10_time_18_07_09_v001,0-125M_24hr,7.930160216666658
bias_video_cam_0_date_2019_07_17_time_17_18_13_v001,0-125M_24hr,5.518172866666662
bias_video_cam_0_date_2019_07_17_time_18_51_31_v001,0-125M_24hr,4.669705016666651
bias_video_cam_0_date_2019_07_19_time_16_15_22_v001,0-125M_24hr,2.7156554666666683
bias_video_cam_0_date_2019_07_19_time_17_22_03_v001,0-125M_24hr,4.505709249999996
bias_video_cam_0_date_2019_07_20_time_17_16_19_v001,0-125M_24hr,5.192266816666666
bias_video_cam_0_date_2019_07_23_time_15_20_45_v001,0-125M_24hr,0.24043421666666517
bias_video_cam_0_date_2019_08_28_time_08_35_56_v001,0-125M_24hr,14.059145233333334
bias_video_cam_0_date_2019_08_28_time_09_33_08_v001,0-125M_24hr,17.84980445000001
bias_video_cam_0_date_2019_09_13_time_08_39_51_v001,0-125M_24hr,14.795733766666675
bias_video_cam_0_date_2019_09_13_time_09_34_35_v001,0-125M_24hr,13.954214666666678
bias_video_cam_0_date_2019_09_19_time_08_03_23_v001,0-125M_24hr,6.976758649999995
bias_video_cam_0_date_2019_09_19_time_09_05_10_v001,0-125M_24hr,10.651372316666668
bias_video_cam_0_date_2019_10_01_time_08_24_12_v001,0-125M_24hr,11.451196216666665
bias_video_cam_0_date_2019_10_01_time_09_22_31_v001,0-125M_24hr,11.697884750000007
bias_video_cam_0_date_2019_10_01_time_10_27_42_v001,0-125M_24hr,7.531981116666672
bias_video_cam_0_date_2019_10_01_time_11_17_53_v001,0-125M_24hr,18.27577420000001
bias_video_cam_0_date_2019_10_17_time_10_07_28_v001,0-125M_24hr,13.811066766666677
bias_video_cam_0_date_2019_10_17_time_11_21_00_v001,0-125M_24hr,22.904480633333332
bias_video_cam_0_date_2019_06_03_time_08_44_39_v001,0-125M_40hr,16.464882333333332
bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,0-125M_40hr,28.870873500000005
bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,0-125M_40hr,17.767814133333324
bias_video_cam_0_date_2019_06_06_time_08_49_27_v001,0-125M_40hr,19.681558150000008
bias_video_cam_0_date_2019_06_06_time_09_44_26_v001,0-125M_40hr,22.286030500000006
bias_video_cam_0_date_2019_06_06_time_10_51_16_v001,0-125M_40hr,27.78822198333332
bias_video_cam_0_date_2019_06_06_time_11_49_34_v001,0-125M_40hr,21.36598741666667
bias_video_cam_0_date_2019_07_18_time_10_35_58_v001,0-125M_40hr,14.854107933333335
bias_video_cam_0_date_2019_07_23_time_09_44_48_v001,0-125M_40hr,18.022141216666668
bias_video_cam_0_date_2019_07_24_time_11_36_04_v001,0-125M_40hr,18.756646366666686
bias_video_cam_0_date_2019_08_09_time_10_10_14_v001,0-125M_40hr,20.155470733333324
bias_video_cam_0_date_2019_08_09_time_11_06_27_v001,0-125M_40hr,14.611578666666642
bias_video_cam_0_date_2019_08_14_time_11_00_23_v001,0-125M_40hr,30.400334050000005
bias_video_cam_0_date_2019_08_29_time_08_37_25_v001,0-125M_40hr,14.018840399999984
bias_video_cam_0_date_2019_08_29_time_09_36_52_v001,0-125M_40hr,17.932486633333344
bias_video_cam_0_date_2019_08_29_time_10_28_38_v001,0-125M_40hr,43.084969783333335
bias_video_cam_0_date_2019_08_30_time_08_29_07_v001,0-125M_40hr,32.2119237
bias_video_cam_0_date_2019_08_30_time_09_23_44_v001,0-125M_40hr,11.642991233333342
bias_video_cam_0_date_2019_08_30_time_10_16_33_v001,0-125M_40hr,32.407864000000004
bias_video_cam_0_date_2019_09_11_time_08_09_33_v001,0-125M_40hr,37.23532865000001
bias_video_cam_0_date_2019_09_11_time_09_01_22_v001,0-125M_40hr,22.66474131666667
bias_video_cam_0_date_2019_09_11_time_09_55_30_v001,0-125M_40hr,25.87516238333334
bias_video_cam_0_date_2019_09_11_time_11_17_38_v001,0-125M_40hr,29.061959433333335
bias_video_cam_0_date_2019_09_18_time_08_17_39_v001,0-125M_40hr,17.120857366666662
bias_video_cam_0_date_2019_09_18_time_09_13_32_v001,0-125M_40hr,23.866911149999996
bias_video_cam_0_date_2019_10_15_time_09_53_03_v001,0-125M_40hr,19.77187131666667
bias_video_cam_0_date_2019_10_15_time_11_01_32_v001,0-125M_40hr,0.6608465000000023
bias_video_cam_0_date_2019_10_16_time_08_11_03_v001,0-125M_40hr,22.693228499999986
bias_video_cam_0_date_2019_10_16_time_09_09_11_v001,0-125M_40hr,22.832193716666673
