fly,condition,mean_visit
bias_video_cam_0_date_2019_06_05_time_18_12_19_v001,0-125M_24hr,25.563382195121946
bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,0-125M_24hr,25.15557502272728
bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,0-125M_24hr,11.059278499999994
bias_video_cam_0_date_2019_06_19_time_15_45_36_v001,0-125M_24hr,12.440237514285709
bias_video_cam_0_date_2019_06_21_time_10_55_39_v001,0-125M_24hr,22.209691742857167
bias_video_cam_0_date_2019_06_25_time_17_03_41_v001,0-125M_24hr,60.33353381249998
bias_video_cam_0_date_2019_07_09_time_16_44_30_v001,0-125M_24hr,8.754205464285725
bias_video_cam_0_date_2019_07_09_time_17_53_36_v001,0-125M_24hr,54.14237542857148
bias_video_cam_0_date_2019_07_10_time_16_54_37_v001,0-125M_24hr,
bias_video_cam_0_date_2019_07_10_time_18_07_09_v001,0-125M_24hr,21.627709681818157
bias_video_cam_0_date_2019_07_17_time_17_18_13_v001,0-125M_24hr,12.26260637037036
bias_video_cam_0_date_2019_07_17_time_18_51_31_v001,0-125M_24hr,6.515867465116257
bias_video_cam_0_date_2019_07_19_time_16_15_22_v001,0-125M_24hr,5.6185975172413825
bias_video_cam_0_date_2019_07_19_time_17_22_03_v001,0-125M_24hr,15.019030833333321
bias_video_cam_0_date_2019_07_20_time_17_16_19_v001,0-125M_24hr,11.126286035714285
bias_video_cam_0_date_2019_07_23_time_15_20_45_v001,0-125M_24hr,2.885210599999982
bias_video_cam_0_date_2019_08_28_time_08_35_56_v001,0-125M_24hr,20.08449319047619
bias_video_cam_0_date_2019_08_28_time_09_33_08_v001,0-125M_24hr,32.45418990909093
bias_video_cam_0_date_2019_09_13_time_08_39_51_v001,0-125M_24hr,16.439704185185196
bias_video_cam_0_date_2019_09_13_time_09_34_35_v001,0-125M_24hr,28.870788965517264
bias_video_cam_0_date_2019_09_19_time_08_03_23_v001,0-125M_24hr,14.434673068965507
bias_video_cam_0_date_2019_09_19_time_09_05_10_v001,0-125M_24hr,21.302744633333337
bias_video_cam_0_date_2019_10_01_time_08_24_12_v001,0-125M_24hr,32.71770347619047
bias_video_cam_0_date_2019_10_01_time_09_22_31_v001,0-125M_24hr,17.99674576923078
bias_video_cam_0_date_2019_10_01_time_10_27_42_v001,0-125M_24hr,8.526771075471704
bias_video_cam_0_date_2019_10_01_time_11_17_53_v001,0-125M_24hr,39.16237328571431
bias_video_cam_0_date_2019_10_17_time_10_07_28_v001,0-125M_24hr,24.372470764705902
bias_video_cam_0_date_2019_10_17_time_11_21_00_v001,0-125M_24hr,65.44137323809524
bias_video_cam_0_date_2019_06_03_time_08_44_39_v001,0-125M_40hr,987.89294
bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,0-125M_40hr,133.2501853846154
bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,0-125M_40hr,36.76099475862067
bias_video_cam_0_date_2019_06_06_time_08_49_27_v001,0-125M_40hr,59.044674450000024
bias_video_cam_0_date_2019_06_06_time_09_44_26_v001,0-125M_40hr,44.57206100000001
bias_video_cam_0_date_2019_06_06_time_10_51_16_v001,0-125M_40hr,37.89302997727271
bias_video_cam_0_date_2019_06_06_time_11_49_34_v001,0-125M_40hr,37.704683676470594
bias_video_cam_0_date_2019_07_18_time_10_35_58_v001,0-125M_40hr,52.42626329411765
bias_video_cam_0_date_2019_07_23_time_09_44_48_v001,0-125M_40hr,45.05535304166667
bias_video_cam_0_date_2019_07_24_time_11_36_04_v001,0-125M_40hr,19.40342727586209
bias_video_cam_0_date_2019_08_09_time_10_10_14_v001,0-125M_40hr,43.190294428571406
bias_video_cam_0_date_2019_08_09_time_11_06_27_v001,0-125M_40hr,11.847225945945926
bias_video_cam_0_date_2019_08_14_time_11_00_23_v001,0-125M_40hr,86.8580972857143
bias_video_cam_0_date_2019_08_29_time_08_37_25_v001,0-125M_40hr,38.23320109090905
bias_video_cam_0_date_2019_08_29_time_09_36_52_v001,0-125M_40hr,71.72994653333338
bias_video_cam_0_date_2019_08_29_time_10_28_38_v001,0-125M_40hr,287.2331318888889
bias_video_cam_0_date_2019_08_30_time_08_29_07_v001,0-125M_40hr,87.850701
bias_video_cam_0_date_2019_08_30_time_09_23_44_v001,0-125M_40hr,139.71589480000011
bias_video_cam_0_date_2019_08_30_time_10_16_33_v001,0-125M_40hr,162.03932000000003
bias_video_cam_0_date_2019_09_11_time_08_09_33_v001,0-125M_40hr,148.94131460000003
bias_video_cam_0_date_2019_09_11_time_09_01_22_v001,0-125M_40hr,37.77456886111112
bias_video_cam_0_date_2019_09_11_time_09_55_30_v001,0-125M_40hr,34.50021651111112
bias_video_cam_0_date_2019_09_11_time_11_17_38_v001,0-125M_40hr,1743.717566
bias_video_cam_0_date_2019_09_18_time_08_17_39_v001,0-125M_40hr,51.36257209999999
bias_video_cam_0_date_2019_09_18_time_09_13_32_v001,0-125M_40hr,79.55637049999999
bias_video_cam_0_date_2019_10_15_time_09_53_03_v001,0-125M_40hr,56.491060904761916
bias_video_cam_0_date_2019_10_15_time_11_01_32_v001,0-125M_40hr,39.65079000000014
bias_video_cam_0_date_2019_10_16_time_08_11_03_v001,0-125M_40hr,31.664969999999983
bias_video_cam_0_date_2019_10_16_time_09_09_11_v001,0-125M_40hr,45.664387433333346
