fly,condition,probability_engage
bias_video_cam_0_date_2019_06_05_time_18_12_19_v001,0-125M_24hr,0.6507936507936508
bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,0-125M_24hr,0.3235294117647059
bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,0-125M_24hr,0.5714285714285714
bias_video_cam_0_date_2019_06_19_time_15_45_36_v001,0-125M_24hr,0.6363636363636364
bias_video_cam_0_date_2019_06_21_time_10_55_39_v001,0-125M_24hr,0.625
bias_video_cam_0_date_2019_06_25_time_17_03_41_v001,0-125M_24hr,0.5714285714285714
bias_video_cam_0_date_2019_07_09_time_16_44_30_v001,0-125M_24hr,0.8235294117647058
bias_video_cam_0_date_2019_07_09_time_17_53_36_v001,0-125M_24hr,0.7777777777777778
bias_video_cam_0_date_2019_07_10_time_16_54_37_v001,0-125M_24hr,
bias_video_cam_0_date_2019_07_10_time_18_07_09_v001,0-125M_24hr,0.88
bias_video_cam_0_date_2019_07_17_time_17_18_13_v001,0-125M_24hr,0.627906976744186
bias_video_cam_0_date_2019_07_17_time_18_51_31_v001,0-125M_24hr,0.7413793103448276
bias_video_cam_0_date_2019_07_19_time_16_15_22_v001,0-125M_24hr,0.725
bias_video_cam_0_date_2019_07_19_time_17_22_03_v001,0-125M_24hr,0.6923076923076923
bias_video_cam_0_date_2019_07_20_time_17_16_19_v001,0-125M_24hr,0.5957446808510638
bias_video_cam_0_date_2019_07_23_time_15_20_45_v001,0-125M_24hr,0.625
bias_video_cam_0_date_2019_08_28_time_08_35_56_v001,0-125M_24hr,0.45652173913043476
bias_video_cam_0_date_2019_08_28_time_09_33_08_v001,0-125M_24hr,0.5076923076923077
bias_video_cam_0_date_2019_09_13_time_08_39_51_v001,0-125M_24hr,0.453781512605042
bias_video_cam_0_date_2019_09_13_time_09_34_35_v001,0-125M_24hr,0.4915254237288136
bias_video_cam_0_date_2019_09_19_time_08_03_23_v001,0-125M_24hr,0.7631578947368421
bias_video_cam_0_date_2019_09_19_time_09_05_10_v001,0-125M_24hr,0.46875
bias_video_cam_0_date_2019_10_01_time_08_24_12_v001,0-125M_24hr,0.4772727272727273
bias_video_cam_0_date_2019_10_01_time_09_22_31_v001,0-125M_24hr,0.5
bias_video_cam_0_date_2019_10_01_time_10_27_42_v001,0-125M_24hr,0.39849624060150374
bias_video_cam_0_date_2019_10_01_time_11_17_53_v001,0-125M_24hr,0.45901639344262296
bias_video_cam_0_date_2019_10_17_time_10_07_28_v001,0-125M_24hr,0.7083333333333334
bias_video_cam_0_date_2019_10_17_time_11_21_00_v001,0-125M_24hr,0.6176470588235294
bias_video_cam_0_date_2019_06_03_time_08_44_39_v001,0-125M_40hr,0.05
bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,0-125M_40hr,0.8125
bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,0-125M_40hr,0.8055555555555556
bias_video_cam_0_date_2019_06_06_time_08_49_27_v001,0-125M_40hr,0.6451612903225806
bias_video_cam_0_date_2019_06_06_time_09_44_26_v001,0-125M_40hr,0.5357142857142857
bias_video_cam_0_date_2019_06_06_time_10_51_16_v001,0-125M_40hr,0.5714285714285714
bias_video_cam_0_date_2019_06_06_time_11_49_34_v001,0-125M_40hr,0.5666666666666667
bias_video_cam_0_date_2019_07_18_time_10_35_58_v001,0-125M_40hr,0.5862068965517241
bias_video_cam_0_date_2019_07_23_time_09_44_48_v001,0-125M_40hr,0.5581395348837209
bias_video_cam_0_date_2019_07_24_time_11_36_04_v001,0-125M_40hr,0.8055555555555556
bias_video_cam_0_date_2019_08_09_time_10_10_14_v001,0-125M_40hr,0.4745762711864407
bias_video_cam_0_date_2019_08_09_time_11_06_27_v001,0-125M_40hr,0.6271186440677966
bias_video_cam_0_date_2019_08_14_time_11_00_23_v001,0-125M_40hr,0.6
bias_video_cam_0_date_2019_08_29_time_08_37_25_v001,0-125M_40hr,0.5789473684210527
bias_video_cam_0_date_2019_08_29_time_09_36_52_v001,0-125M_40hr,0.5
bias_video_cam_0_date_2019_08_29_time_10_28_38_v001,0-125M_40hr,0.47368421052631576
bias_video_cam_0_date_2019_08_30_time_08_29_07_v001,0-125M_40hr,0.4583333333333333
bias_video_cam_0_date_2019_08_30_time_09_23_44_v001,0-125M_40hr,0.5555555555555556
bias_video_cam_0_date_2019_08_30_time_10_16_33_v001,0-125M_40hr,0.48
bias_video_cam_0_date_2019_09_11_time_08_09_33_v001,0-125M_40hr,0.4166666666666667
bias_video_cam_0_date_2019_09_11_time_09_01_22_v001,0-125M_40hr,0.6
bias_video_cam_0_date_2019_09_11_time_09_55_30_v001,0-125M_40hr,0.7377049180327869
bias_video_cam_0_date_2019_09_11_time_11_17_38_v001,0-125M_40hr,0.14285714285714285
bias_video_cam_0_date_2019_09_18_time_08_17_39_v001,0-125M_40hr,0.5555555555555556
bias_video_cam_0_date_2019_09_18_time_09_13_32_v001,0-125M_40hr,0.43902439024390244
bias_video_cam_0_date_2019_10_15_time_09_53_03_v001,0-125M_40hr,0.3888888888888889
bias_video_cam_0_date_2019_10_15_time_11_01_32_v001,0-125M_40hr,1.0
bias_video_cam_0_date_2019_10_16_time_08_11_03_v001,0-125M_40hr,0.5512820512820513
bias_video_cam_0_date_2019_10_16_time_09_09_11_v001,0-125M_40hr,0.6382978723404256
