,condition,flyid,loopN,loop_length,distance_patch_0,fed,normFed,deltaCFF,pathLengthDistanceRatio,maxDistBin_uneven,maxDistBin,deltaCFFBin,loopN_bin,loopN_binShort,loopN_binShort_num
0,sorbitol,fly02,1,5.063103239582336,3.6492068844994097,1.866536,0.001,0.1066764250144467,1.3874530548236872,"[3, 6)","[0, 4)","[0.1, 0.2)","[1, 5)","[1, 4)",0.0
1,sorbitol,fly02,2,2.143087919232941,3.206804139081082,2.299839,0.002,0.015321530210209586,0.6682939856274004,"[3, 6)","[0, 4)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
2,sorbitol,fly02,3,20.765095904984438,6.721064978900856,11.5325260000001,0.009,0.24593997257663952,3.0895544039778504,"[6, 9)","[4, 8)","[0.2, 0.3)","[1, 5)","[1, 4)",0.0
3,sorbitol,fly02,4,26.709541893116995,9.783316970140968,12.099153000000108,0.009,0.037374977533889964,2.7301110630101704,"[9, 12)","[8, 12)","[0.0, 0.1)","[1, 5)","[4, 7)",1.0
4,sorbitol,fly02,5,14.370159012727198,3.37890055726665,12.165815000000109,0.009,0.0024969003762995157,4.252909716985542,"[3, 6)","[0, 4)","[0.0, 0.1)","[5, 9)","[4, 7)",1.0
5,sorbitol,fly02,6,20.95901130995816,7.201233670072915,12.29913900000011,0.009,0.0034841892595763035,2.9104751033229483,"[6, 9)","[4, 8)","[0.0, 0.1)","[5, 9)","[4, 7)",1.0
6,sorbitol,fly02,7,18.53099759061206,7.073476054444605,20.098593000000214,0.015,0.01660639806520378,2.619786572822021,"[6, 9)","[4, 8)","[0.0, 0.1)","[5, 9)","[7, 10)",2.0
7,sorbitol,fly02,8,41.34591032257381,8.409945962398021,23.59834800000026,0.018,0.013861925091767119,4.916311056864911,"[6, 9)","[8, 12)","[0.0, 0.1)","[5, 9)","[7, 10)",2.0
8,sorbitol,fly02,9,8.862617069497336,4.330103733851786,24.131644000000268,0.018,0.004205370116463894,2.0467447466007274,"[3, 6)","[4, 8)","[0.0, 0.1)","[9, 13)","[7, 10)",2.0
9,sorbitol,fly02,10,46.27658312692662,12.45836384248723,25.231567000000283,0.019,0.005035531648137179,3.714499248216514,"[12, 15)","[12, 16)","[0.0, 0.1)","[9, 13)","[10, 13)",3.0
