,fly,flyid,condition,trip_index,time,cumul_feeding,norm_cumul_feeding,duration,length,runturnsegs,previsit_duration,isloop,postvisit_duration,scaled_duration,scaled_length,scaled_duration_loop,scaled_length_loop,scaled_previsit_duration,scaled_postvisit_duration,genotype,triptype,triptype_vs,log10_duration,log10_scaled_duration,log10_length,log10_scaled_length
0,bias_video_cam_0_date_2019_06_20_time_11_24_06_v001,fly01,0-125M_24hr,0.0,903.1708950000001,44.695753000000195,0.6750629978958824,0.8338759999999183,1.8468388643386788,2.0,903.170895,1.0,2.3765460000000758,0.002780558286416946,0.0014068972430956832,0.3265305802790179,0.3021029602814254,4.861746994556005,0.37012980262450207,SS96xCSMH-TNT,short,very short,-0.07889852552486652,-2.555867996755419,0.26642900514173945,-0.5198450190908738
1,bias_video_cam_0_date_2019_06_20_time_11_24_06_v001,fly01,0-125M_24hr,1.0,906.3813170000001,45.86318000000017,0.6926952496770433,6.754395999999929,19.382924122681743,11.0,2.3765460000000758,1.0,12.758302000000072,0.022522523453778635,0.014765653375557807,2.644897856892955,3.1706278600917406,0.012792889404307548,1.9870130016770835,SS96xCSMH-TNT,short,short,0.8295865190730414,-1.6473829521575112,1.2874192956532884,0.5011452714206753
2,bias_video_cam_0_date_2019_06_20_time_11_24_06_v001,fly01,0-125M_24hr,2.0,925.8940150000001,57.53744300000028,0.8690176617640489,1.3342020000000048,2.293016602285661,1.0,12.758302000000072,1.0,4.0442979999999125,0.004448894592066972,0.0017467894998427578,0.5224490850791609,0.37508800410316673,0.06867762983453782,0.6298700805684335,SS96xCSMH-TNT,short,very short,0.12522158733463884,-2.351747883895914,0.36040719919350056,-0.42586682503911266
3,bias_video_cam_0_date_2019_06_20_time_11_24_06_v001,fly01,0-125M_24hr,3.0,931.272515,61.164803000000234,0.9238035497218503,1.292507999999998,0.9303255721692949,1.0,4.0442979999999125,1.0,6.504232999999999,0.004309866010846385,0.0007087096269955744,0.5061224777488661,0.1521811755236673,0.021770357919459346,1.012987115129981,SS96xCSMH-TNT,short,very short,0.11143323984729697,-2.3655362313832557,-0.031365041281666936,-0.8176390655142801
4,bias_video_cam_0_date_2019_06_20_time_11_24_06_v001,fly01,0-125M_24hr,4.0,939.069256,66.0429760000003,0.9974811112036935,1489.2608679999996,6539.064143173466,1099.0,6.504232999999999,0.0,,4.9659381576568915,4.981371950254508,583.1672999521767,1069.6496988816666,0.03501212828569059,,SS96xCSMH-TNT,long,long,3.1729707780810767,0.6960013068505243,3.8155155974774084,3.0292415732447955
5,bias_video_cam_0_date_2019_06_24_time_11_29_56_v001,fly02,0-125M_24hr,0.0,92.810355,71.17129199999997,0.08939512049945168,8.213673999999997,51.11687303600209,14.0,92.81035499999999,True,328.63039100000003,0.09982950210167843,0.24266634277784666,0.1407792918648005,0.4937104125024616,2.3536305424333746,7.41158127689574,SS96xCSMH-TNT,long,long,0.9145374617498331,-1.0007410949194833,1.7085642789385749,-0.3065277132814302
6,bias_video_cam_0_date_2019_06_24_time_11_29_56_v001,fly02,0-125M_24hr,1.0,429.65442,373.2427559999999,0.46881376198941904,8.58892000000003,0.0,0.0,328.63039100000003,True,100.85727200000002,0.10439026520789006,0.0,0.14721086757076396,0.0,8.333924866782615,2.274627938454971,SS96xCSMH-TNT,short,very short,0.9339385575997609,-0.9813399990695555,-inf,-inf
7,bias_video_cam_0_date_2019_06_24_time_11_29_56_v001,fly02,0-125M_24hr,2.0,539.1006120000001,462.75932000000006,0.5812515694339839,15.426701999999977,72.85927681093436,19.0,100.85727200000002,True,7.046250999999984,0.1874970907940789,0.34588372079598206,0.26440788657661596,0.7037086087723413,2.5576968842076995,0.15891367145014826,SS96xCSMH-TNT,long,long,1.1882730902696936,-0.7270054663996227,1.8624848561924836,-0.15260713602752166
8,bias_video_cam_0_date_2019_06_24_time_11_29_56_v001,fly02,0-125M_24hr,3.0,561.573565,469.2635520000002,0.589421248346043,16.13549599999999,88.22802850928406,30.0,7.046250999999984,True,2.9185660000000553,0.19611181693400825,0.41884355863803147,0.27655634990715733,0.8521471240801154,0.17868988393861518,0.06582224198791432,SS96xCSMH-TNT,long,long,1.2077823200189548,-0.7074962366503615,1.945606574850611,-0.06948541736939413
9,bias_video_cam_0_date_2019_06_24_time_11_29_56_v001,fly02,0-125M_24hr,4.0,580.6276270000001,471.9319570000003,0.5927729141625966,149.222077,47.06212992355336,12.0,2.9185660000000553,True,5.0866419999999835,1.8136543585109814,0.22341732335311398,2.5576104348254804,0.45454782731794446,0.07401357399945012,0.11471872852280231,SS96xCSMH-TNT,long,long,2.173833080576253,0.2585545239069363,1.67267157845228,-0.34242041376772514
