genotype,label,flyid,food,abs_ifCW
CantonSMH,"CantonSMH
0-125M_40hr",fly01,before,0.29166666666666674
CantonSMH,"CantonSMH
0-125M_40hr",fly02,after,0.592152643014712
CantonSMH,"CantonSMH
0-125M_40hr",fly02,before,0.140625
CantonSMH,"CantonSMH
0-125M_40hr",fly03,after,0.2898710394237241
CantonSMH,"CantonSMH
0-125M_40hr",fly03,before,0.5103926096997691
CantonSMH,"CantonSMH
0-125M_40hr",fly04,after,0.41099782472916807
CantonSMH,"CantonSMH
0-125M_40hr",fly04,before,0.00952380952380949
CantonSMH,"CantonSMH
0-125M_40hr",fly05,after,0.527909743327045
CantonSMH,"CantonSMH
0-125M_40hr",fly05,before,0.15384615384615385
CantonSMH,"CantonSMH
0-125M_40hr",fly06,after,0.5434887303510267
CantonSMH,"CantonSMH
0-125M_40hr",fly06,before,0.0
CantonSMH,"CantonSMH
0-125M_40hr",fly07,after,0.45138500266294773
CantonSMH,"CantonSMH
0-125M_40hr",fly07,before,0.2911392405063291
CantonSMH,"CantonSMH
0-125M_40hr",fly08,after,0.26021662042585175
CantonSMH,"CantonSMH
0-125M_40hr",fly08,before,0.04157549234135671
CantonSMH,"CantonSMH
0-125M_40hr",fly09,after,0.647009606036619
CantonSMH,"CantonSMH
0-125M_40hr",fly09,before,0.19999999999999996
CantonSMH,"CantonSMH
0-125M_40hr",fly10,after,0.4496256062517311
CantonSMH,"CantonSMH
0-125M_40hr",fly10,before,0.039215686274509776
CantonSMH,"CantonSMH
0-125M_40hr",fly11,after,0.5715097948419722
CantonSMH,"CantonSMH
0-125M_40hr",fly11,before,0.03389830508474567
CantonSMH,"CantonSMH
0-125M_40hr",fly12,after,0.47914561775840286
CantonSMH,"CantonSMH
0-125M_40hr",fly12,before,0.10256410256410253
CantonSMH,"CantonSMH
0-125M_40hr",fly13,after,0.6153439153439153
CantonSMH,"CantonSMH
0-125M_40hr",fly13,before,0.07317073170731714
CantonSMH,"CantonSMH
0-125M_40hr",fly14,after,0.45816137566137566
CantonSMH,"CantonSMH
0-125M_40hr",fly14,before,0.10447761194029848
CantonSMH,"CantonSMH
0-125M_40hr",fly15,after,0.6615716967099905
CantonSMH,"CantonSMH
0-125M_40hr",fly15,before,0.05208333333333326
CantonSMH,"CantonSMH
0-125M_40hr",fly16,after,0.7708333333333333
CantonSMH,"CantonSMH
0-125M_40hr",fly16,before,0.015873015873015817
CantonSMH,"CantonSMH
0-125M_40hr",fly17,after,0.46998849572066087
CantonSMH,"CantonSMH
0-125M_40hr",fly17,before,0.05882352941176472
CantonSMH,"CantonSMH
0-125M_40hr",fly18,after,1.0
CantonSMH,"CantonSMH
0-125M_40hr",fly18,before,0.1351351351351351
CantonSMH,"CantonSMH
0-125M_40hr",fly19,after,0.4888888888888888
CantonSMH,"CantonSMH
0-125M_40hr",fly19,before,0.98989898989899
CantonSMH,"CantonSMH
0-125M_40hr",fly20,after,0.4343477375569802
CantonSMH,"CantonSMH
0-125M_40hr",fly20,before,0.22666666666666668
CantonSMH,"CantonSMH
0-125M_40hr",fly21,after,0.2950855053547068
CantonSMH,"CantonSMH
0-125M_40hr",fly21,before,0.1578947368421053
