genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW
CantonSMH,0-125M_24hr,fly01,2.0,0.2857142857142857,7,-0.4285714285714286,0.4285714285714286
CantonSMH,0-125M_24hr,fly01,3.0,0.8,5,0.6000000000000001,0.6000000000000001
CantonSMH,0-125M_24hr,fly01,4.0,1.0,8,1.0,1.0
CantonSMH,0-125M_24hr,fly01,5.0,0.2,5,-0.6,0.6
CantonSMH,0-125M_24hr,fly01,7.0,0.0,3,-1.0,1.0
CantonSMH,0-125M_24hr,fly01,8.0,0.14285714285714285,7,-0.7142857142857143,0.7142857142857143
CantonSMH,0-125M_24hr,fly01,10.0,0.2857142857142857,7,-0.4285714285714286,0.4285714285714286
CantonSMH,0-125M_24hr,fly01,11.0,0.5,12,0.0,0.0
CantonSMH,0-125M_24hr,fly01,12.0,1.0,3,1.0,1.0
CantonSMH,0-125M_24hr,fly01,13.0,0.42105263157894735,19,-0.1578947368421053,0.1578947368421053
CantonSMH,0-125M_24hr,fly01,14.0,0.5789473684210527,19,0.1578947368421053,0.1578947368421053
CantonSMH,0-125M_24hr,fly01,15.0,0.16666666666666666,6,-0.6666666666666667,0.6666666666666667
CantonSMH,0-125M_24hr,fly01,16.0,0.3333333333333333,18,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly01,17.0,0.2,10,-0.6,0.6
CantonSMH,0-125M_24hr,fly01,18.0,0.3333333333333333,3,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly01,19.0,0.5555555555555556,18,0.11111111111111116,0.11111111111111116
CantonSMH,0-125M_24hr,fly01,20.0,0.5588235294117647,34,0.11764705882352944,0.11764705882352944
CantonSMH,0-125M_24hr,fly01,21.0,0.45454545454545453,44,-0.09090909090909094,0.09090909090909094
CantonSMH,0-125M_24hr,fly01,22.0,0.5,24,0.0,0.0
CantonSMH,0-125M_24hr,fly01,23.0,0.38095238095238093,63,-0.23809523809523814,0.23809523809523814
CantonSMH,0-125M_24hr,fly01,24.0,0.0,3,-1.0,1.0
CantonSMH,0-125M_24hr,fly01,25.0,0.4791666666666667,48,-0.04166666666666663,0.04166666666666663
CantonSMH,0-125M_24hr,fly01,26.0,0.4,15,-0.19999999999999996,0.19999999999999996
CantonSMH,0-125M_24hr,fly01,27.0,0.3333333333333333,3,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly01,28.0,0.4444444444444444,45,-0.11111111111111116,0.11111111111111116
CantonSMH,0-125M_24hr,fly01,29.0,0.494949494949495,99,-0.010101010101010055,0.010101010101010055
CantonSMH,0-125M_24hr,fly01,30.0,0.421875,64,-0.15625,0.15625
CantonSMH,0-125M_24hr,fly01,31.0,0.34868421052631576,152,-0.3026315789473685,0.3026315789473685
CantonSMH,0-125M_24hr,fly01,32.0,0.6666666666666666,3,0.33333333333333326,0.33333333333333326
CantonSMH,0-125M_24hr,fly01,33.0,0.18181818181818182,11,-0.6363636363636364,0.6363636363636364
CantonSMH,0-125M_24hr,fly01,34.0,0.35135135135135137,37,-0.29729729729729726,0.29729729729729726
CantonSMH,0-125M_24hr,fly01,35.0,0.4,5,-0.19999999999999996,0.19999999999999996
CantonSMH,0-125M_24hr,fly01,36.0,0.6363636363636364,11,0.2727272727272727,0.2727272727272727
CantonSMH,0-125M_24hr,fly01,37.0,0.4449152542372881,236,-0.11016949152542377,0.11016949152542377
CantonSMH,0-125M_24hr,fly01,38.0,0.47058823529411764,102,-0.05882352941176472,0.05882352941176472
CantonSMH,0-125M_24hr,fly01,39.0,0.75,4,0.5,0.5
