genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW
CantonSMH,0-125M_24hr,fly01,0.0,0.5454545454545454,11,0.09090909090909083,0.09090909090909083
CantonSMH,0-125M_24hr,fly02,0.0,0.6381322957198443,257,0.2762645914396886,0.2762645914396886
CantonSMH,0-125M_24hr,fly03,0.0,0.6888888888888889,180,0.37777777777777777,0.37777777777777777
CantonSMH,0-125M_24hr,fly04,0.0,0.4520547945205479,438,-0.09589041095890416,0.09589041095890416
CantonSMH,0-125M_24hr,fly05,0.0,0.48333333333333334,420,-0.033333333333333326,0.033333333333333326
CantonSMH,0-125M_24hr,fly06,0.0,0.0017271157167530224,579,-0.9965457685664939,0.9965457685664939
CantonSMH,0-125M_24hr,fly07,0.0,0.6956521739130435,69,0.3913043478260869,0.3913043478260869
CantonSMH,0-125M_24hr,fly08,0.0,0.5523978685612788,1126,0.10479573712255763,0.10479573712255763
CantonSMH,0-125M_24hr,fly09,0.0,0.5070422535211268,852,0.014084507042253502,0.014084507042253502
CantonSMH,0-125M_24hr,fly10,0.0,0.5714285714285714,196,0.1428571428571428,0.1428571428571428
CantonSMH,0-125M_24hr,fly11,0.0,0.6557377049180327,366,0.3114754098360655,0.3114754098360655
CantonSMH,0-125M_24hr,fly12,0.0,0.45454545454545453,33,-0.09090909090909094,0.09090909090909094
CantonSMH,0-125M_24hr,fly13,0.0,0.5357142857142857,336,0.0714285714285714,0.0714285714285714
CantonSMH,0-125M_24hr,fly14,0.0,0.3669724770642202,327,-0.2660550458715596,0.2660550458715596
CantonSMH,0-125M_24hr,fly15,0.0,0.5111111111111111,180,0.022222222222222143,0.022222222222222143
CantonSMH,0-125M_24hr,fly16,0.0,0.5363128491620112,358,0.07262569832402233,0.07262569832402233
CantonSMH,0-125M_24hr,fly17,0.0,0.48639455782312924,294,-0.027210884353741527,0.027210884353741527
CantonSMH,0-125M_24hr,fly18,0.0,0.5,10,0.0,0.0
CantonSMH,0-125M_24hr,fly19,0.0,0.4666666666666667,60,-0.06666666666666665,0.06666666666666665
CantonSMH,0-125M_24hr,fly20,0.0,0.551219512195122,205,0.102439024390244,0.102439024390244
CantonSMH,0-125M_24hr,fly21,0.0,0.4034090909090909,176,-0.19318181818181823,0.19318181818181823
CantonSMH,0-125M_24hr,fly22,0.0,0.3968253968253968,189,-0.2063492063492064,0.2063492063492064
CantonSMH,0-125M_24hr,fly23,0.0,0.4863013698630137,146,-0.0273972602739726,0.0273972602739726
CantonSMH,0-125M_24hr,fly24,0.0,0.375,40,-0.25,0.25
CantonSMH,0-125M_24hr,fly26,0.0,0.42948717948717946,156,-0.14102564102564108,0.14102564102564108
CantonSMH,0-125M_24hr,fly27,0.0,0.4398034398034398,407,-0.12039312039312045,0.12039312039312045
CantonSMH,0-125M_24hr,fly28,0.0,0.5681818181818182,44,0.13636363636363646,0.13636363636363646
Or83b,0-125M_24hr,fly01,0.0,0.5130434782608696,115,0.026086956521739202,0.026086956521739202
Or83b,0-125M_24hr,fly03,0.0,0.2894736842105263,38,-0.42105263157894735,0.42105263157894735
Or83b,0-125M_24hr,fly04,0.0,0.030303030303030304,33,-0.9393939393939394,0.9393939393939394
Or83b,0-125M_24hr,fly05,0.0,0.4954682779456193,1324,-0.009063444108761365,0.009063444108761365
Or83b,0-125M_24hr,fly06,0.0,0.5517241379310345,116,0.10344827586206895,0.10344827586206895
Or83b,0-125M_24hr,fly07,0.0,0.5569620253164557,79,0.11392405063291133,0.11392405063291133
Or83b,0-125M_24hr,fly08,0.0,0.47619047619047616,42,-0.04761904761904767,0.04761904761904767
Or83b,0-125M_24hr,fly10,0.0,0.58,100,0.15999999999999992,0.15999999999999992
Or83b,0-125M_24hr,fly11,0.0,0.4939759036144578,83,-0.012048192771084376,0.012048192771084376
Or83b,0-125M_24hr,fly12,0.0,0.48671328671328673,1430,-0.02657342657342654,0.02657342657342654
Or83b,0-125M_24hr,fly13,0.0,0.6614044637996733,1837,0.32280892759934665,0.32280892759934665
Or83b,0-125M_24hr,fly14,0.0,0.5392953929539296,738,0.07859078590785917,0.07859078590785917
Or83b,0-125M_24hr,fly15,0.0,0.4206128133704735,718,-0.15877437325905297,0.15877437325905297
Or83b,0-125M_24hr,fly16,0.0,0.4858490566037736,1060,-0.028301886792452824,0.028301886792452824
Or83b,0-125M_24hr,fly17,0.0,0.1,10,-0.8,0.8
Or83b,0-125M_24hr,fly18,0.0,0.4891304347826087,276,-0.021739130434782594,0.021739130434782594
Or83b,0-125M_24hr,fly19,0.0,0.7560975609756098,41,0.5121951219512195,0.5121951219512195
Or83b,0-125M_24hr,fly20,0.0,0.5494505494505495,182,0.098901098901099,0.098901098901099
Or83b,0-125M_24hr,fly21,0.0,0.5028427037271005,1583,0.005685407454200986,0.005685407454200986
Or83b,0-125M_24hr,fly22,0.0,0.5253164556962026,158,0.05063291139240511,0.05063291139240511
Or83b,0-125M_24hr,fly23,0.0,0.5057142857142857,700,0.011428571428571344,0.011428571428571344
Or83b,0-125M_24hr,fly24,0.0,0.5303867403314917,181,0.06077348066298338,0.06077348066298338
Or83b,0-125M_24hr,fly27,0.0,0.46774193548387094,62,-0.06451612903225812,0.06451612903225812
Or83b,0-125M_24hr,fly28,0.0,0.5142857142857142,490,0.02857142857142847,0.02857142857142847
Or83b,0-125M_24hr,fly29,0.0,0.3241758241758242,182,-0.3516483516483516,0.3516483516483516
Or83b,0-125M_24hr,fly30,0.0,0.4581081081081081,740,-0.08378378378378382,0.08378378378378382
Tmem63,0-125M_24hr,fly01,0.0,0.4716981132075472,530,-0.05660377358490565,0.05660377358490565
Tmem63,0-125M_24hr,fly02,0.0,0.46954510408635314,1297,-0.060909791827293724,0.060909791827293724
Tmem63,0-125M_24hr,fly03,0.0,0.3935483870967742,310,-0.2129032258064516,0.2129032258064516
Tmem63,0-125M_24hr,fly04,0.0,0.5526315789473685,152,0.10526315789473695,0.10526315789473695
Tmem63,0-125M_24hr,fly05,0.0,0.4639175257731959,388,-0.07216494845360821,0.07216494845360821
Tmem63,0-125M_24hr,fly06,0.0,0.5638297872340425,188,0.12765957446808507,0.12765957446808507
Tmem63,0-125M_24hr,fly07,0.0,0.5138248847926268,434,0.02764976958525356,0.02764976958525356
Tmem63,0-125M_24hr,fly08,0.0,0.5327731092436975,595,0.06554621848739495,0.06554621848739495
Tmem63,0-125M_24hr,fly09,0.0,0.4770992366412214,262,-0.04580152671755722,0.04580152671755722
Tmem63,0-125M_24hr,fly10,0.0,0.4426807760141093,567,-0.11463844797178135,0.11463844797178135
Tmem63,0-125M_24hr,fly11,0.0,0.514018691588785,535,0.028037383177569986,0.028037383177569986
